Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1092403973,1121549049,1151302081,1181163013,1211170184
Small states,SST,"Population, total",SP.POP.TOTL,41379367,41965649,42393051,42792327,43280780
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211344,214599,218641,223107,227380
Suriname,SUR,"Population, total",SP.POP.TOTL,593715,600301,607065,612985,618040
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5446771,5454147,5458827,5447247,5431752
Slovenia,SVN,"Population, total",SP.POP.TOTL,2073894,2088385,2102419,2108079,2108732
Sweden,SWE,"Population, total",SP.POP.TOTL,10175214,10278887,10353442,10415811,10486941
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160428,1169613,1180655,1192271,1201670
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40895,41608,42310,42846,43389
Seychelles,SYC,"Population, total",SP.POP.TOTL,96762,97625,98462,99258,100060
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,19333463,20098251,20772595,21324367,22125249
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,41487,43080,44276,45114,45703
Chad,TCD,"Population, total",SP.POP.TOTL,15604210,16126866,16644701,17179740,17723315
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2068898629,2080648616,2090523535,2097669023,2103055378
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,459613334,460994696,462023771,462283493,457865503
Togo,TGO,"Population, total",SP.POP.TOTL,8046679,8243094,8442580,8644829,8848699
Thailand,THA,"Population, total",SP.POP.TOTL,71127802,71307763,71475664,71601103,71697030
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9128132,9337003,9543207,9750064,9952787
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6065066,6158420,6250438,6341855,6430770
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,623841282,629515571,634680385,639188695,643602758
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1261845,1280438,1299995,1320942,1341296
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,393806257,400574097,407006855,413124452,419284769
Tonga,TON,"Population, total",SP.POP.TOTL,105150,104951,105254,106017,106858
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1840534093,1861598514,1882531620,1901911604,1919348000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1092403973,1121549049,1151302081,1181163013,1211170184
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1504709,1519955,1518147,1525663,1531044
Tunisia,TUN,"Population, total",SP.POP.TOTL,11933041,12049314,12161723,12262946,12356117
Turkiye,TUR,"Population, total",SP.POP.TOTL,82809304,83481684,84135428,84775404,85341241
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10865,10956,11069,11204,11312
Tanzania,TZA,"Population, total",SP.POP.TOTL,58090443,59872579,61704518,63588334,65497748
Uganda,UGA,"Population, total",SP.POP.TOTL,41515395,42949080,44404611,45853778,47249585
Ukraine,UKR,"Population, total",SP.POP.TOTL,44622518,44386203,44132049,43792855,38000000
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2736419850,2752927981,2766467575,2776091134,2784208276
Uruguay,URY,"Population, total",SP.POP.TOTL,3427042,3428409,3429086,3426260,3422794
United States,USA,"Population, total",SP.POP.TOTL,326838199,328329953,331511512,332031554,333287557
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32956100,33580350,34232050,34915100,35648100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,105281,104924,104632,104332,103948
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29825653,28971683,28490453,28199867,28301696
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30335,30610,30910,31122,31305
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107001,106669,106290,105870,105413
Viet Nam,VNM,"Population, total",SP.POP.TOTL,94914330,95776716,96648685,97468029,98186856
Vanuatu,VUT,"Population, total",SP.POP.TOTL,297298,304404,311685,319137,326740
World,WLD,"Population, total",SP.POP.TOTL,7661776612,7742682218,7820963775,7888161297,7951149546
Samoa,WSM,"Population, total",SP.POP.TOTL,209701,211905,214929,218764,222382
Kosovo,XKX,"Population, total",SP.POP.TOTL,1797085,1788878,1790133,1786038,1761985
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,30790513,31546691,32284046,32981641,33696614
South Africa,ZAF,"Population, total",SP.POP.TOTL,57339635,58087055,58801927,59392255,59893885
Zambia,ZMB,"Population, total",SP.POP.TOTL,17835893,18380477,18927715,19473125,20017675
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15052184,15354608,15669666,15993524,16320537
