Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,31566.35811,31506.55684,29196.97775,34218.21474,33940.9496
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1274.915663,1295.201487,1477.452905,1210.540688,1095.70179
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3514.390021,3475.859166,3120.198439,3604.888758,3952.111391
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8850.378404,8909.653336,7677.369141,9465.966408,9893.515907
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4165.022821,4394.94715,4041.174145,4566.140131,4946.754811
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,25862.75445,23687.27185,17302.92214,,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,504.5358261,508.1634038,454.0623643,491.8390749,541.4544255
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1749.954236,1839.962778,1868.468248,2166.044797,2190.700205
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11643.4606,11403.25289,9005.462022,9062.722476,10216.29474
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,537.9322041,584.3628673,622.1845914,633.6097333,645.1586921
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11073.97859,11132.10345,10160.82935,11109.26529,11971.9276
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,61174.69147,63203.37389,61461.12113,68382.93995,74164.65302
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5687.381186,5126.176143,4252.041807,4919.188955,4911.327635
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,36495.19599,34934.57949,34700.98162,36668.42535,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,567.3308492,550.9635431,564.8219973,590.6294814,533.0287638
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2125.834282,2334.023543,2074.613928,2065.749068,2184.421493
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1981.863168,1905.638313,1876.607372,2064.925116,2255.425986
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,53044.53244,52476.27325,52162.57012,57708.11121,55985.40343
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,82792.84271,76430.58895,68340.0181,90655.39102,106148.7786
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1161.53435,1185.682318,1139.189892,1229.394205,1336.546047
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10985.87555,10316.52504,10124.7005,11632.69149,11913.65733
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,43236.88669,42796.43058,41760.59478,49996.42067,48249.26402
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39352.52144,39531.34357,38341.32076,42522.45009,43260.7027
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,19887.57431,19132.15227,16707.62301,19509.46646,25056.79486
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,14068.44702,13563.89766,11679.55747,13931.79672,15990.64736
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1620.742596,1437.165834,1322.314783,1505.010193,1596.662661
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,16156.07429,16472.83175,13293.33321,15491.28979,17357.62863
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6912.104623,6955.88177,6063.62658,6635.463923,7125.829235
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3194.672704,3413.849067,3224.422811,3460.539401,3498.509816
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15948.27586,15567.09087,14016.2475,12083.88815,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2584.327738,2593.775798,2446.084413,2644.537173,3020.269646
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15504.50894,15700.01358,15816.8204,17999.83227,18321.28089
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1447.509518,1484.236014,1329.368452,1413.97366,1553.280512
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,31615.06679,32916.8668,31427.42911,32601.56564,35208.63719
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23562.55452,23330.81729,22242.40642,24598.47279,24274.51658
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,6242.961502,5807.838814,5353.348045,5959.441763,6153.055677
