,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
190,326.98,52.615,0.0,327.143,52.595,0.0,326.98,52.615,0.0,327.143,52.595,0.0
191,327.143,52.595,0.0,327.351,52.581,0.0,327.143,52.595,0.0,327.351,52.581,0.0
192,327.351,52.581,0.0,327.641,52.556,0.0,327.351,52.581,0.0,327.641,52.556,0.0
193,327.641,52.556,0.0,327.947,52.516,0.0,327.641,52.556,0.0,327.947,52.516,0.0
194,327.947,52.516,0.0,328.134,52.504,0.0,327.947,52.516,0.0,328.134,52.504,0.0
195,328.134,52.504,0.0,328.418,52.465,0.0,328.134,52.504,0.0,328.418,52.465,0.0
196,328.418,52.465,0.0,328.743,52.42,0.0,328.418,52.465,0.0,328.743,52.42,0.0
197,328.735,52.343,0.0,328.743,52.42,0.0,328.735,52.343,0.0,328.743,52.42,0.0
198,328.735,52.343,0.0,328.747,52.263,0.0,328.735,52.343,0.0,328.747,52.263,0.0
199,328.732,52.109,0.0,328.747,52.263,0.0,328.732,52.109,0.0,328.747,52.263,0.0
200,328.732,52.109,0.0,328.942,52.105,0.0,328.732,52.109,0.0,328.942,52.105,0.0
201,328.942,52.105,0.0,329.193,52.094,0.0,328.942,52.105,0.0,329.193,52.094,0.0
202,329.193,52.094,0.0,329.624,52.057,0.0,329.193,52.094,0.0,329.624,52.057,0.0
203,329.624,52.057,0.0,329.974,52.03,0.0,329.624,52.057,0.0,329.974,52.03,0.0
204,329.964,51.953,0.0,329.974,52.03,0.0,329.964,51.953,0.0,329.974,52.03,0.0
205,329.964,51.953,0.0,329.989,51.858,0.0,329.964,51.953,0.0,329.989,51.858,0.0
206,329.989,51.858,0.0,329.994,51.765,0.0,329.989,51.858,0.0,329.994,51.765,0.0
207,329.979,51.626,0.0,329.994,51.765,0.0,329.979,51.626,0.0,329.994,51.765,0.0
208,329.979,51.626,0.0,329.999,51.254,0.0,329.979,51.626,0.0,329.999,51.254,0.0
209,329.999,51.254,0.0,330.023,51.107,0.0,329.999,51.254,0.0,330.023,51.107,0.0
210,330.018,50.99,0.0,330.023,51.107,0.0,330.018,50.99,0.0,330.023,51.107,0.0
211,330.018,50.99,0.0,330.058,50.931,0.0,330.018,50.99,0.0,330.058,50.931,0.0
212,330.058,50.931,0.0,330.091,50.861,0.0,330.058,50.931,0.0,330.091,50.861,0.0
213,330.091,50.861,0.0,330.125,50.79,0.0,330.091,50.861,0.0,330.125,50.79,0.0
214,330.125,50.79,0.0,330.169,50.743,0.0,330.125,50.79,0.0,330.169,50.743,0.0
215,330.169,50.743,0.0,330.232,50.694,0.0,330.169,50.743,0.0,330.232,50.694,0.0
216,330.232,50.694,0.0,330.338,50.598,0.0,330.232,50.694,0.0,330.338,50.598,0.0
217,330.338,50.598,0.0,330.463,50.499,0.0,330.338,50.598,0.0,330.463,50.499,0.0
